customer_id,customer_name,gender,birth_date,phone_number,email,open_date,created_date
CUST007150,Salsabila Purnawati,F,1990-09-17,081 074 0279,salsabila.purnawati@hotmail.com,2024/12/31,2024-12-31 18:55:01
CUST003319,Cornelia Wijayanti,F,1997-03-05,(033) 657-9634,cornelia.wijayanti@gmail.com,2024/12/31,2024-12-31 17:24:59
CUST001979,Jefri Sihombing,M,1982-02-26,(055) 600 5511,jefri.sihombing@gmail.com,2024/12/31,2024-12-31 15:03:43
CUST007254,Elma Maryati,F,1984-03-25,+62-008-153-1104,elma.maryati@yahoo.com,2024/12/31,2024-12-31 00:48:10
CUST004392,Najwa Natsir,F,1980-05-25,+62 (678) 311-9386,najwa.natsir@hotmail.com,2024/12/31,2024-12-31 17:41:05
CUST002637,Jabal Padmasari,M,1994-08-02,+62 (022) 864 6047,jabal.padmasari@gmail.com,2024/12/31,2024-12-31 21:22:12
CUST001120,Kawaca Wastuti,M,1994-03-20,+62 (630) 685-6130,kawaca.wastuti@hotmail.com,2024/12/31,2024-12-31 10:55:43
CUST008782,Vinsen Kuswandari,M,2003-12-25,(0259) 346-5871,vinsen.kuswandari@yahoo.com,2024/12/31,2024-12-31 19:44:28
CUST005127,Hani Palastri,F,2003-02-10,+62 (368) 876-1503,hani.palastri@hotmail.com,2024/12/31,2024-12-31 18:37:35
CUST007931,Manah Hidayat,M,1986-02-07,+62-666-995-1756,manah.hidayat@gmail.com,2024/12/31,2024-12-31 22:16:47
CUST004105,Artawan Widodo,M,1996-11-12,+62 (73) 002-8659,artawan.widodo@yahoo.com,2024/12/31,2024-12-31 04:54:27
CUST007482,Zulaikha Yuliarti,F,1994-08-14,+62-52-366-4445,zulaikha.yuliarti@yahoo.com,2024/12/31,2024-12-31 20:32:53
CUST004504,Septi Latupono,F,1982-04-04,+62 (648) 547 9207,septi.latupono@gmail.com,2024/12/31,2024-12-31 01:15:29
CUST001597,Aisyah Laksmiwati,F,1990-11-15,(072) 355-8558,aisyah.laksmiwati@yahoo.com,2024/12/31,2024-12-31 07:01:42
CUST001128,Timbul Prayoga,M,1990-02-21,+62-629-253-0038,timbul.prayoga@hotmail.com,2024/12/31,2024-12-31 05:50:17
CUST005109,Karta Manullang,M,1992-12-26,+62 (67) 695-2628,karta.manullang@hotmail.com,2024/12/31,2024-12-31 23:16:07
CUST002583,Mustika Yuniar,M,1977-07-26,+62 (61) 186-3826,mustika.yuniar@gmail.com,2024/12/31,2024-12-31 21:29:10
CUST001704,Putu Wijaya,M,1997-06-24,0800694086,putu.wijaya@hotmail.com,2024/12/31,2024-12-31 12:24:40
CUST004778,Galiono Nashiruddin,M,1992-06-03,(076) 529 1618,galiono.nashiruddin@gmail.com,2024/12/31,2024-12-31 17:11:20
CUST006034,Jarwi Zulkarnain,M,1996-11-21,+62-06-518-9593,jarwi.zulkarnain@yahoo.com,2024/12/31,2024-12-31 08:57:47
CUST006814,Gantar Puspita,M,1997-08-27,+62 (0340) 343 8713,gantar.puspita@hotmail.com,2024/12/31,2024-12-31 23:31:18
CUST009381,Ani Habibi,F,1981-07-31,+62 (888) 571 0613,ani.habibi@gmail.com,2024/12/31,2024-12-31 19:32:52
CUST006333,Darijan Nainggolan,M,1985-12-23,+62 (448) 155 7771,darijan.nainggolan@yahoo.com,2024/12/31,2024-12-31 02:18:38
CUST004945,Mujur Ramadan,M,1997-07-12,+62 (587) 770-3181,mujur.ramadan@hotmail.com,2024/12/31,2024-12-31 07:44:52
CUST006964,Gadang Hasanah,M,1991-02-01,+62 (157) 680-9083,gadang.hasanah@yahoo.com,2024/12/31,2024-12-31 11:49:21
CUST009162,Balamantri Prasetyo,M,2001-01-24,(0502) 789 5386,balamantri.prasetyo@gmail.com,2024/12/31,2024-12-31 11:37:23
CUST003147,Umi Hartati,F,1979-02-03,(011) 823-0248,umi.hartati@hotmail.com,2024/12/31,2024-12-31 01:10:53
CUST004817,Taswir Santoso,M,2005-03-17,(082) 361-6765,taswir.santoso@gmail.com,2024/12/31,2024-12-31 12:45:06
CUST008535,Fitriani Ramadan,F,1984-09-24,(0699) 164-5135,fitriani.ramadan@hotmail.com,2024/12/31,2024-12-31 21:17:52
CUST008674,Wulan Astuti,F,1999-04-04,+62 (0623) 257 4154,wulan.astuti@gmail.com,2024/12/31,2024-12-31 07:02:49
CUST008422,Nabila Nugroho,F,1978-04-09,+62 (032) 128 7819,nabila.nugroho@gmail.com,2024/12/31,2024-12-31 23:34:18
CUST003553,Vero Prayoga,M,2007-03-28,+62-0194-503-7784,vero.prayoga@hotmail.com,2024/12/31,2024-12-31 20:20:01
CUST007809,Emong Wijayanti,M,1975-06-09,+62 (005) 842-1634,emong.wijayanti@yahoo.com,2024/12/31,2024-12-31 21:58:11
CUST008987,Kemba Yulianti,M,1989-05-02,083 886 1676,kemba.yulianti@gmail.com,2024/12/31,2024-12-31 20:50:47
CUST003228,Karsana Waskita,M,1996-02-07,0846490369,karsana.waskita@hotmail.com,2024/12/31,2024-12-31 02:39:37
CUST007656,Kusuma Prastuti,M,1996-12-31,+62-081-844-1372,kusuma.prastuti@yahoo.com,2024/12/31,2024-12-31 10:24:36
CUST007854,Nasab Halimah,M,1978-03-27,+62-0464-991-0242,nasab.halimah@yahoo.com,2024/12/31,2024-12-31 01:48:22
CUST005956,Gina Siregar,F,1989-06-27,(091) 566 8855,gina.siregar@gmail.com,2024/12/31,2024-12-31 05:48:34
CUST007768,Emas Dongoran,M,1985-09-25,+62 (0357) 302 7197,emas.dongoran@gmail.com,2024/12/31,2024-12-31 18:15:29
CUST005218,Usman Narpati,M,1992-03-05,(035) 502-9078,usman.narpati@hotmail.com,2024/12/31,2024-12-31 08:31:14
CUST002287,Lalita Hastuti,F,1986-02-17,081 278 2536,lalita.hastuti@gmail.com,2024/12/31,2024-12-31 02:30:05
CUST005264,Dewi Suartini,F,1974-11-26,+62 (0166) 776-2238,dewi.suartini@hotmail.com,2024/12/31,2024-12-31 21:13:36
CUST007156,Rahmat Hutasoit,M,2004-02-01,+62 (466) 471 7304,rahmat.hutasoit@hotmail.com,2024/12/31,2024-12-31 11:39:14
